Employee_ID,Employee_Name,Department,Leave_Type,Total_Days,EL_Balance,CL_Balance,CO_Balance,Overtime_Hours,Productivity_Score,Is_Peak_Season,Month
1035,Arjun Reddy,FIN,EL,8.0,22.55,9.55,4.45,6.76,82.51,0,4
1065,Meera Verma,FIN,CO,6.0,13.2,1.86,4.91,16.78,92.21,0,7
1048,Sanjay Sharma,HR,CL,6.0,12.58,6.44,1.63,16.56,80.43,0,4
1107,Priya Singh,SALES,CO,4.0,26.05,2.33,2.06,13.99,77.77,0,5
1143,Deepa Verma,SALES,CL,3.0,24.88,3.25,2.19,1.57,75.51,0,2
1116,Priya Sharma,FIN,CO,9.0,22.21,0.7,4.58,8.85,79.8,0,7
1117,Arjun Nair,OPS,EL,5.0,20.96,6.2,3.29,8.71,89.6,0,9
1075,Priya Sharma,SALES,CO,5.0,8.0,4.1,0.46,41.47,68.6,1,10
1143,Deepa Verma,SALES,CL,5.0,16.84,2.08,2.17,40.67,76.64,1,10
1137,Meera Gupta,SALES,CO,1.0,18.48,8.21,3.08,56.22,74.34,1,10
1083,Sanjay Nair,ENG,CL,3.0,21.08,5.5,2.73,18.83,82.72,0,8
1073,Priya Singh,HR,EL,2.0,5.97,7.42,1.68,13.11,82.71,1,11
1089,Rohan Singh,SALES,CO,9.0,17.4,8.31,1.74,18.73,75.78,0,2
1020,Anjali Verma,ENG,CL,5.0,23.77,9.68,4.95,8.25,82.44,0,9
1095,Priya Singh,FIN,CO,5.0,10.96,8.16,3.7,4.76,82.55,0,8
1112,Sanjay Sharma,OPS,EL,6.0,12.44,1.2,0.27,19.17,91.94,0,4
1008,Meera Reddy,OPS,CL,4.0,19.34,7.58,2.24,5.86,81.57,0,7
1122,Sanjay Nair,HR,EL,7.0,24.53,1.36,4.65,19.48,94.92,0,5
1121,Sanjay Nair,OPS,CO,7.0,18.65,8.47,4.84,13.76,91.74,0,5
1144,Meera Sharma,SALES,CO,8.0,6.82,9.86,3.53,1.63,76.7,0,6
1082,Meera Sharma,SALES,EL,1.0,27.01,2.84,4.54,11.84,82.0,0,8
1018,Arjun Gupta,ENG,CL,7.0,15.61,10.88,0.56,9.85,75.23,1,12
1125,Rohan Singh,SALES,EL,9.0,23.61,8.17,1.19,29.66,66.63,1,10
1116,Priya Sharma,FIN,CL,5.0,6.09,11.1,4.6,5.06,88.91,0,6
1145,Sanjay Nair,OPS,EL,1.0,20.69,7.01,4.51,0.91,80.62,0,9
